Media	textid	text.type	text_version	screenid	Sentence_index	Word_index	AOI_nopunct	id.global.aoi	list	Participant	Participant_unique	age	sex	Payment	is.expert	educational_background	field_of_study	current_situation	current_situation_old	Participant_commnts_new	Recording	situation_actuelle	Timeline	Media_old	id.global.aoi.participant	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Average_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	First-pass_first_fixation_duration	First-pass_duration	Regression-path_duration	Selective_regression-path_duration	First-pass_regression	Re-reading_duration	Average_eye_openness	Average_whole-fixation_eye_openness	filename.et	flag	id.ann	id.ann.global	lemma_merged	pos_merged	token_merged	token_id_merged	is.hyphenated	is.compound.hyphen	word_count_text	word_count_page	total_word_count_text	left_dependents	right_dependents	AOI_unif_quot	id.line	lemma_individual	lemma_count_screen	lemma_count_text	total_lemma_count_screen	total_lemma_count_text	lemma_frequency_screen	lemma_frequency_text	word_frequency_text	total_word_count_screen	word_frequency_screen	word_id_screen	word_id_text	AOI_ann	AOI_length	is.in.bracket	id.phrase.in.brackets	AOI.that.in.fact.should.be	tag	tag.type	tag.id	annotated_text	Sentence_id_current	Sentence_id_match	id.piece	filename.ann
clinical_001_original_1	1	clinical	original	1	1	1	Cas	clinical_001_original_1-1-1	1_A	Participant10	Participant10-1_A	22	W	X	non-expert	Licence	3ème année de psychologie	étudiante	student		Recording13	étudiante	Timeline_1_A	clinical_1_original	Participant10-clinical_001_original_1-1-1	602	318.31	194	408	2	10969	397	2.8368	602	318.31	194	408	2	10969	397	0	10929	11019	243.6	193.37	397	602	0	0	0	0	2.673	2.559	eye_tracking_metrics_dummy.xlsx				cas	NOUN	Cas	0			1	1	5	0	2			['cas']	[1]	[1]	5	6	[0.2]	[0.16666666666666666]	0.2	4	0.25	1	1	Cas	3	False				1.0			1	1	0	001_tagged_finished_words_original.csv
clinical_001_original_1	1	clinical	original	1	1	2	clinique	clinical_001_original_1-1-2	1_A	Participant10	Participant10-1_A	22	W	X	non-expert	Licence	3ème année de psychologie	étudiante	student		Recording15	étudiante	Timeline_1_A	clinical_1_original	Participant10-clinical_001_original_1-1-2	442	106.16	98	453	3	11363	108	2.78432	442	106.16	98	453	1	11363	108	2	11323	11413	196.35	241.59	108	442	0	0	0	0	2.754	2.568	eye_tracking_metrics_dummy.xlsx				clinique | .	DET | PUNCT	clinique | .	1			1	1	5	0	0			['clinique', '.']	[1, 1]	[1, 1]	5	6	[0.2, 0.2]	[0.16666666666666666, 0.16666666666666666]	0.2	4	0.25	2	2	clinique.	8	False							1	1	1	001_tagged_finished_words_original.csv
clinical_001_original_1	1	clinical	original	1	2	1	Un	clinical_001_original_1-2-1	1_A	Participant10	Participant10-1_A	22	W	X	non-expert	Licence	3ème année de psychologie	étudiante	student		Recording15	étudiante	Timeline_1_A	clinical_1_original	Participant10-clinical_001_original_1-2-1	355	104.52	59	385	3	15053	329	2.57429	355	104.52	59	385	2	15053	329	1	15013	15103	277.13	264.48	329	355	0	0	0	0	2.508	2.444	eye_tracking_metrics_dummy.xlsx				un	NOUN	Un	2			1	1	5	0	0			['un']	[1]	[1]	5	6	[0.2]	[0.16666666666666666]	0.2	4	0.25	3	3	Un	2	False							2	2	2	001_tagged_finished_words_original.csv
clinical_001_original_1	1	clinical	original	1	2	2	patient	clinical_001_original_1-2-2	1_A	Participant10	Participant10-1_A	22	W	X	non-expert	Licence	3ème année de psychologie	étudiante	student		Recording11	étudiante	Timeline_1_A	clinical_1_original	Participant10-clinical_001_original_1-2-2	494	273.87	64	318	3	9047	367	2.25188	494	273.87	64	318	1	9047	367	2	9007	9097	247.79	201.67	367	494	0	0	0	0	2.431	2.603	eye_tracking_metrics_dummy.xlsx				patient	VERB	patient	3			1	1	5	1	0			['patient']	[1]	[1]	5	6	[0.2]	[0.16666666666666666]	0.2	4	0.25	4	4	patient	7	False							2	2	3	001_tagged_finished_words_original.csv
clinical_001_original_2	1	clinical	original	2	2	3	âgé	clinical_001_original_2-2-3	1_A	Participant10	Participant10-1_A	22	W	X	non-expert	Licence	3ème année de psychologie	étudiante	student		Recording10	étudiante	Timeline_1_A	clinical_1_original	Participant10-clinical_001_original_2-2-3	605	304.33	69	305	2	15565	264	2.93607	605	304.33	69	305	1	15565	264	2	15525	15615	252.1	246.71	264	605	0	0	0	0	2.757	2.364	eye_tracking_metrics_dummy.xlsx				âgé	VERB	âgé	4			1	1	5	0	0			['âgé']	[1]	[1]	1	6	[1.0]	[0.16666666666666666]	0.2	1	1.0	5	5	âgé	3	False							2	2	4	001_tagged_finished_words_original.csv
medical_002_simplified_1	2	medical	simplified	1	1	1	Le	medical_002_simplified_1-1-1	1_A	Participant10	Participant10-1_A	22	W	X	non-expert	Licence	3ème année de psychologie	étudiante	student		Recording11	étudiante	Timeline_1_A	medical_2_simplified	Participant10-medical_002_simplified_1-1-1	376	196.03	185	371	1	11224	136	2.44986	376	196.03	185	371	1	11224	136	0	11184	11274	240.4	235.8	136	376	0	0	0	0	2.622	2.682	eye_tracking_metrics_dummy.xlsx				le	NOUN	Le	5			1	1	5	0	0			['le']	[1]	[1]	8	8	[0.125]	[0.125]	0.2	5	0.2	1	1	Le	2	False				2.0			1	1	5	002_tagged_finished_words_simplified.csv
medical_002_simplified_1	2	medical	simplified	1	1	2	patient	medical_002_simplified_1-1-2	1_A	Participant10	Participant10-1_A	22	W	X	non-expert	Licence	3ème année de psychologie	étudiante	student		Recording11	étudiante	Timeline_1_A	medical_2_simplified	Participant10-medical_002_simplified_1-1-2	169	146.18	55	222	2	14396	311	2.8177	169	146.18	55	222	2	14396	311	1	14356	14446	231.38	264.57	311	169	0	0	0	0	2.497	2.673	eye_tracking_metrics_dummy.xlsx				patient	ADJ	patient	6			1	1	5	1	0			['patient']	[1]	[1]	8	8	[0.125]	[0.125]	0.2	5	0.2	2	2	patient	7	False							1	1	6	002_tagged_finished_words_simplified.csv
medical_002_simplified_1	2	medical	simplified	1	1	3	souffre	medical_002_simplified_1-1-3	1_A	Participant10	Participant10-1_A	22	W	X	non-expert	Licence	3ème année de psychologie	étudiante	student		Recording16	étudiante	Timeline_1_A	medical_2_simplified	Participant10-medical_002_simplified_1-1-3	635	235.32	106	427	2	15555	90	2.35952	635	235.32	106	427	1	15555	90	0	15515	15605	275.89	272.12	90	635	0	0	0	0	2.702	2.38	eye_tracking_metrics_dummy.xlsx				souffre	DET	souffre	7			1	1	5	1	0			['souffre']	[1]	[1]	8	8	[0.125]	[0.125]	0.2	5	0.2	3	3	souffre	7	False				5.0			1	1	7	002_tagged_finished_words_simplified.csv
medical_002_simplified_1	2	medical	simplified	1	2	1	d’orthopédie	medical_002_simplified_1-2-1	1_A	Participant10	Participant10-1_A	22	W	X	non-expert	Licence	3ème année de psychologie	étudiante	student		Recording19	étudiante	Timeline_1_A	medical_2_simplified	Participant10-medical_002_simplified_1-2-1	496	303.71	262	363	1	11984	305	3.19535	496	303.71	262	363	1	11984	305	1	11944	12034	226.57	210.28	305	496	0	0	0	0	2.588	2.412	eye_tracking_metrics_dummy.xlsx				d | ' | orthopédie	DET | PUNCT | VERB	d | ' | orthopédie	8			1	1	5	0	0			"['d', ""'"", 'orthopédie']"	[1, 1, 1]	[1, 1, 1]	8	8	[0.125, 0.125, 0.125]	[0.125, 0.125, 0.125]	0.2	5	0.2	4	4	d’orthopédie	11	False				6.0		orthopédie	2	2	8	002_tagged_finished_words_simplified.csv
medical_002_simplified_1	2	medical	simplified	1	2	2	fracture	medical_002_simplified_1-2-2	1_A	Participant10	Participant10-1_A	22	W	X	non-expert	Licence	3ème année de psychologie	étudiante	student		Recording17	étudiante	Timeline_1_A	medical_2_simplified	Participant10-medical_002_simplified_1-2-2	576	428.06	134	593	3	12123	115	2.29131	576	428.06	134	593	2	12123	115	2	12083	12173	257.98	187.16	115	576	0	0	0	0	2.513	2.672	eye_tracking_metrics_dummy.xlsx				fracture | .	VERB | PUNCT	fracture | .	9			1	1	5	0	0			['fracture', '.']	[1, 1]	[1, 1]	8	8	[0.125, 0.125]	[0.125, 0.125]	0.2	5	0.2	5	5	fracture.	8	False				7.0		fracture	2	2	9	002_tagged_finished_words_simplified.csv
